cleaned_text,predicted_sentiment
4 14 18kami penggemar forum militer prestasi pencapaian bagus bagus singkat bagus bagusin memaparkan data singkat cocok menggambarkan garis ketimbang rincian fair proporsional sesuai kebutuhan topiknya respect ganjar perform bagus poin poin ketimbang anies low quality perdebatan kali sisi presiden sanggup menghadapi kelicikan konspirator gimana mencekiknya bermain elit global so sepemandangan mengikuti forum militer menilai hasil kinerja prabowo menhan bagus kemajuan bandingkan menhan fair nyata komparasinya ganjar salut tim bagus pertarungan mendukung capres anies sorry banget aneh sinkron mulut hasil pas jaman kopit bener bener ngikut banget prestasi lupa janji terealisasi paslon sempurna menciptakan stigma suci nabi kumaha atuh kesalahan paslon betapa mengerikannya sok alim memakan pilihan bulat mengeliminasi anies anies red flag pdi red flag,neutral
posisi screennya diturunin sejajar pandangan mata kali mba nana sy dr pegel liatnya,negative
ko denger2 bahas negara paslon 1 3 bahas kinerja heyyyyyyy kinerjanya udh bagus mustahil 100,negative
ngomong membuka lapangan pekerjaan rakyat indonesia kerja umur lapangan pekerjaan umur 31 kerja miskin miskin menjajikan lapangan pekerjaan lapangan pekerjaan rakyat indonesia nganggur terpaut umur,positive
kayaknya penontontnya suka ngelanggar aturan deeehhhh suruh aj penontonya,negative
membahas kinerja menilai kekurangan kerja dibaluti s3 marketing dlm memaparkan sebenernya presiden isi omongin lakuin indonesia salah salahin,negative
ngeselin mukanya capres guys,negative
sok pinter sok wawasan capres guys,negative
2 menang,negative
1 kerja bisanya ngomong ngelantur janji palsu 2 kerja nyata 3 salah partai presiden perintah nyonya mega,negative
hasil survei 70 suara rakyat mendukung prabowo pemilu 2019 pindah anis,negative
gubernur vs menhan,neutral
pesawat terpung tuhdi menit 01 40 20,negative
shinz o sasageyo shinz o sasageyo shinz o sasageyo,negative
habis ngungkapin data elektabilitasnya turun chuuaaaks,negative
membawa catatan rumah,negative
membawa catatan dr rumah beda anak sma nyontek ujian,negative
nama diplomatic power showcase oresin bang nici siahaan,negative
prabowo,negative
prabowo padamu pakkk,negative
prabowo padamu pakkk,negative
prabowo padamu pakkk,negative
gambaran pemimpin adu argumen fitnah menjatuhkan strategi membangun indo bodohnya masyarakan mudah dibodohi pikirannya pendek fanatik terprofokasi fanatik an serang cocok anis pilih anis cocok pranbowopilih prabowo cocok ganjar pilih ganjar an membenci fanatik tertawakan petugas partai mbak nana pilih anis berhasil mengadu,negative
anis cerdas ganjar pinter presiden prabowo,neutral
bacot bicara menilai prabowo kerjaankalian bagus menilai buruknya,negative
curang memenangkan hati rakyat memenangkan pemilu,negative
senang elit politik partai usung masing2 partai debat baku hantam karna rakyat prabowo anis ganjar gunanya rakyat karna menggemukkan partai elitnya usung rakyat kerja makan modar mengubah apapun rakyat debatan nama rakyat negara suka debat pembelaannya seru baku hantam,negative
anis ucapkan,negative
aduh byk janji gratis kasih kemakmuran koropsi tebas smua korupsi negara ngutang uang korupsi bayar hutang ngutang negara bayar rakyat kaya org2 pemerintahan kabar orang2 miskin makmurin org2 dlam,negative
anis mikirin keamanan negara membahayakan,negative
anis ngmngin palestina wkw pdhl bulak ngurus prabowo anis ngapain,negative
mbak nana live,negative
wo berhak bicara etik contoh etik,negative
ganjar nilai nol anies nol,neutral
istilah menutupi kesalahan 02 debat cawapres kemarin debat cawapres 2 balas istilah singkatan kpu,neutral
prabowo is the best,negative
kenyataannya debat capres dinegara demokrasi sebatas program pribadi keluarganya pemimpin gagasan bersih,positive
3,negative
prabowo gibran yes,negative
terima kasih mba najwa team awam sulit mencari data kebenaran website semoga terjaga kepercayaannya,positive
ambisi pribadi wowo 1x cawapres 3x capres,negative
kayanya mba nana belain prabowo,negative
mba nana belain prabowo,negative
sukses,positive
,negative
perhatian masyarakat indonesia ragu menentukan pilihan presiden ri terkhusus kaum milenial gen z gambaran sederhana ketiga paslon ngelamar kerja posisi presiden rakyat hrd menyeleksi calon pelamar perlukan seleksi 1 cv mencakup biodata pengalaman prestasi 2 skck catatan buruk 3 tahap interview wawancara adu gagasan visi misi debat kpu tes psikologi mencakup kesehatan fisik mental emosional gambaran sederhana memilih calon pemimpin indonesia masyarakat indonesia cerdaslah menyeleksi calon pelamar hak suara karna 5 kedepan sekian,negative
prabowo kek npc,negative
lihat niih progam idolaku dn brharap pilihan capresnya jug mndukung kearifan bahasa kearifan demokrasi prabowo gibran tampa bicara dnhasud krja nyata rakyat trjawab dn faham,positive
najwa shihab sayang ku maaf data ku habis jaringan internet ku bagus sayang mu cinta padamu,negative
gege,negative
debat serang personal kadarnya serangannya berbeda emosi kasi nilai 11 100 berusaha tenang dibilang cuman omon doang disadari omon doang nilanya nol 0 ibah nilai 11 100 membeci nilai 0 cuman omong doank pikiran hilangkah kewarasan,negative
gasuka penonton bayaran distudio syutingnya mba nana,negative
2 34 14 suara kyk ngos ngosan gt,negative
2 59 27 3tik,negative
khusus org2 kinerja jokowi dilanjutkan kasih alasan pilih ganjar pd pilih prabowo 1 prabowo tua umurnya 70 thn sulit pergi kesana kemari kayak jokowi negara negara prabowo mudah capek kasian gibran disuruh muda pengalaman takutnya bahan intimidasi pepimpin2 barat pemimpin2 pilih ganjar muda beda jokowi 2 ganjar mahfud berpengalaman rekam jejaknya berintegritas memberantas korupsi 3 ganjar didukung org2 keren2 andika perkasa mantan panglima tni bu yenny wahid menteri2 retno marsudi sri mulyani sandiaga uno basuki menteri pupr erick thohir menteri bumn profesor mahfud md wakil ganjar org2 keren mendukung ganjar,neutral
tertarik pinter ngomong doang,negative
o,negative
prabowo wkwk,negative
salam perubahan suka suka joget joget lanjutin,negative
maaf omongan prof mahfud bumerang kritis kinerja menkopolhukam meludahi pekerjaan prof ahli pakar hukum urusan kanjuruhan nyawa manusia disalahkan angin ngurus teriak teriak korupsi didalam pemerintahan menjamur korupsi aneh hukum dinegeri dimana keadilan dbuat main2 koruptor remisi dbebaskan dibiarkan mecalonkan pejabat petinggi partai sungguh miris hukum keadilan negeri wakanda berharap memberantas korupsi membiarkan koruptor beranak pinak dinegeri salamdamai tertipu ucapan lihat rekam jejak berproses pemilih cerdas,negative
bahas debat rakyat melilih bahas pengunsi rohingya mendesak pemerintah usir rohingya bumi indonesia tercinta,negative
fadli zon sbnrnye sakit kali hadir,negative
halahhhh akui imin bnyk pengetahuan sgie ajah pke ejaan indonesia trus who bacanya double yu eij ou ngeles,positive
sistem global islamic ekonomi s g i e terkait produk halal carbon capture storage ccs terkait polusi jakarta budi iib anis muhaimin amin pergi pasar ipkp ilmu pengetahuan sosial ips pembuangan sampah tps dll contoh singkatan singkatan ketahui semoga bermanfaat terimakasih menang merayakan kalah bblllahahahahahaha,positive
klasifikasi komunikasi berdasarkan intelek intelektual kosa familiar tetep sulit dimengerti susunannya amburadul intelek menengah kosa familiar mudah dimengerti kosa familiar intelek menengah keatas sok cerdas pengen cerdas kosa familiar lawan bicaranya lawan bicaranya mengerti engga pokoknya pakai kosa keren intelektual menyesuaikan lawan bicara lawan bicaranya memahami bicarakan kosa familiar non familiar mudah dipahami menyesuaikan lawan bicara menjudge 4 golongan kapasitasnya gimana kapasitas protes,negative
visi misi gibran visi misi predisen hilirisasi pemerataan pembangunan,positive
patah patah,negative
timses 3 om coki,negative
2 mentri 2 pejabat daerah 2 berkuasa lawan tangguh aamiin,negative
oh mic viral,negative
02 gas,negative
gibran diserang kanan kiri wkwkwk,positive
mantab gibran,negative
baaa coooootttttt,negative
sejujurnya garing banget debatnya cawapres 01 terjebak kondisi partai pemerintahan berusaha pro pemerintah gampang diserang cawapres 02 kapasitas berbobot subtansinya cawapres 03 matang pengusungnya dlu deh,negative
prof mahfud md,negative
guys coba diinget2 denger kepanjangan singkatan tni guys jaman sd kuliah sperti haha bentuk singkatan dijabarkan kepanjangannya sprti tni tugas detail terkait tni liatkan kekanak2an nanya sgie bangganya pendukungnya maap norak hahaha beda level selevel imin prof mahfud hafal teori2 singkatan paham gibran lontarkan keliatan strategi gibran mempermalukan menganggap remeh debat capres 1 kemarin prabowo ajukan aturan menyerang memojokkan lawan imin prof mahfud hati2 kemarin eeeeeeehhh die ngajuin aturan mbuh,negative
korupsi partai nyaa tahuu,negative
01 34 15 imin legowo cawapres pembukaan visi misi langsung ngomong bicara pd debat,negative
mahfud bagus partai dibelakangnya bosan semoga ttp masuk kabinet dipemerintahan,positive
polisi tolong bang kusen,negative
anak bu mualifah ayah khalisa cina kakak adik kak ramli ayah khalisa cina anaknya bu mualifah polisi,negative
koq sponsornya aqua,negative
oot aneh banget fadli zone kurus,negative
nyangka gibran expektasi mbantai profesor ketum partai,negative
kaget fadli zon tetiba kurus,negative
imin cringe,negative
suka pembawa acaranya keren,positive
kaya perang doa situ sehat,negative
bismillah ganjar mahfud menang,neutral
nomor 1 bersaing ng nomor 2,neutral
pilih haluan meneruskan jokowi deh,positive
gibran mvp orng mikir planga plongo sepuh penuh ultimatum,negative
anies,negative
jeli remehkan introvet,negative
susu makanan gratis dukung 3,positive
indonesia unggul nepotisme,neutral
tukang asongan radikal radikul timses 3,negative
kurus x skrng padli zonk,negative
slepat slepet ngungak ngunguk,negative
dahlah negeri lawak,negative
haha nonton debat capres percepat videonya 1 5x alhamdulillah 1 25x v,negative
najwa sb dukung ktny dukung samsul denger2,positive
fadli zon skrg berubah kalem komen paslon pakaian 02 komen pasangan keren 02,negative
o,negative
halah ketiga bulsyit janji janji janji sampah kulit pisang,negative
who we ha o kepanjangan bahasa inggris sms es em es kepanjangan bahasa inggris sgie kn anak sd,negative
tidur wir wir opening closing teks lomba baca puisi wir wir,negative
who idx fgd idpl mdgs cod kpi atm g20 gws kepo etc lol pov lmao aka fyi fyp ootd dm diy hbd btw cmiiw paham,negative
timses amin keren bangeeettt,positive
fadli zon kurus y wk,negative
gibran ahli ekonomi terbaik indonesia,negative
najwa sihab debat gibran kalah tandingan gibran segi imu wawasanya gibran mumpuni propesor mati kutu debat gibran,negative
1 the best,positive
owallah gibran ngomong singkatan wae jik salah,negative
1 kebanyakan ngasi janji percaya,negative
fadli dzon unbelipebel ngga salah lihat neeh ngga kalimat planga plongonya,negative
fadli zon kurusan yaa,negative
imin cawapres sukaaa lucu,positive
capres cawapres 2 maju pembukaan knp sesuai urutan,negative
plek ketiplek bapaknya,negative
susu gratis enak,positive
humorku sebatas slepet,negative
omongin gibran persis omongin bapaknya tercapai dibohongin,negative
pengen pemimpin mencabut membakar seakar akarnya korupsi indonesia iku tog indonesia makasih,negative
koropsi berantas pucuknyadengan miskinkan asetnya ambil 0leh negara pelakunya hukum sesuai koropsinya da,negative
semoga fadli zhon sehat2 andai fadli fahri hamzah kubu 1 insya allah indonesia maju bantu2 orang2 cerdas,negative
mencari istilah hilirisasi digital maksud hilirisasi digital dunia akademik cawapres ngaur asam sulfat hilirisasi digital wkwkwk,negative
ko pas gibran videonya terpotong dipart lanjutannya narasi,negative
gemsh bangt timsesnya paslon 01 03 kek arghhhhhh,negative
mantap,positive
mundur wiirr sainganmu mahfudz wkwkwk,negative
netral melihat2 gagasan capres dn melihat2 rekam jejaknya capres semoga salah pilih pemimpin indonesia,negative
kasihan fz kurus pusing mikirin mbah gemoysian nepo baby,negative
anak2 muda dibawa2 milih kl now,negative
pengen kuliah digratisin,negative
congratulation debat anggun menawan berilah kesempatan muda berkarya sadar sadar sadar depannya muda penerus bangsa memegang peranan tua membimbing melecehkan anak muda berprestasi membanggakan bangsa diapresiasi positif disupport karya dihargai karya bumi pertiwi dilecehkan dipandang sebelah mata kebanyakan direkrut negara manca berhasil berkarir contoh ingatkah anak its mobil tenaga surya penemu 3g hacker geniusnya amazing surabaya putrinya marisa haque ikang fawzi animator handal menawarkan kpd negeri dihiraukan dimanfaatkan apresiasi sepadan diambil negeri jiran malaysia mbuat upin ipin dokter muda spesialis negri openi singapura rs elizabeth kebanyakan ahli medisnya muda mudi negri anak muda berprestasi dunia dihiraukan negri direkrut negara manca hengkang manca negara berhasil husnudzon fakta lapangan hilangkan su udzon berkepanjangan positif thinking over thinking berakibat talk more do less pemikiran anak muda kesempatan berkarya disepelekan dicaci dihina dilecehkan dipandang sebelah mata seakan muda berkarya sukarno peristiwa rengas dengklok memproklamirkan kemerdekaan tgl 17 agustus 1945 hai anak muda hebat tantangan terbesar terberatmu juragan tuan rumah negeri memiliki mengedepankan adab etika norma budi pekerti adi luhung bangsa g a p e,negative
aqua,negative
prabowo rugi caprwpres gibran klu prabowo udh sbnrnya tpi syg wakik gibran menghncurkan suara prabowo,negative
next time vote mba setelahdebat seru makasih mba,positive
gelar gibran acar,neutral
nyanyi indonesia raya gila cewmpreng sumpah pas model ambil sumpah kuping rada sakit,negative
wkwk ngakak debat milih pemimpin opening sah kek konser anjir dr kpu buissa menempatkan acara resmi acara hiburan jln anjir kau,negative
sllu kalangan masyarakat masyarakat lansia mencoblos kandidat capres cawapres mengenal persatu orang2 selaras negara indonesia memiliki kota desa terpencil memiliki alat mengenal kandidat capres cawapres 2024 masyarakat merasakan namanya demekrosi negara semoga chenal,positive
debat pilpres terngiang ngiang suara moderator mohon tenang mohon tenang,neutral
bener ka nana kesel baca komentar suuzonin contekan macem namanya debat butuh data debat kaya gini contekan ngga paham ngga nyampein bercuma ttp kedengeran oon wkwkwkwk,negative
gawat orde pilih no2 ja,negative
fadli zon koar koar caci jokowi anaknya cawapres ketua,negative
gibran sah pemimpin hal2 peringkat sgie dicari kesalahan spel bhs indonesia bhs indo bhs ing indo contoh wa otw who asean spel bhs indo carbon storage regulasi permen esdm mahput,positive
rakyat indonesia pintar memilih paslon amanah menghimbau saudara saudara memilih dianggap sah amininaja indonesiapintar hutbah jumat masjid jami al ittihad,neutral
fadli munafik banget,negative
berharap pemilu adil bak najwa kampung calonnya angka bera duitnya,negative
pakaian adat rote,negative
gitu2 bosen hidup golput,negative
youtube kaya tv yak,negative
prabowo gibran jokowi rekonsiliasi nasionalis persatuan indonesia,negative
00 25,negative
bansossssssssss males bos buka lapangan pekerjaan bansos,negative
,negative
kalah debat kalah gibran memudahkan imin pakai bhs indonesia gibran pakai bhs inggris imin plonga plongo,negative
prabowo gibran bismillah r1,negative
menurutku sgie dibahasa inggriskan bengong cuman alasan2 pembenaran pendukungnya bacanya dibahasa inggriskan faham ngurusin global,negative
,negative
samsulll samsulll wkwkwkkk,negative
nobar timses 1 3 berusaha menyudutkan timses 2 kerasa bet dibahas gibran gibran terusss,negative
nobar menghibur terimakasih tim narasi,negative
keren menguasai visi misi lawan pola dicari cari,positive
21,negative
ketidaktauan paslon singkatan bahasa inggris proker indo jdi nyesuain pemimpin hrs fleksibel ngikutin trend,negative
rakyat indonesia pintar memilih paslon amanah menghimbau saudara saudara memilih dianggap sah amininaja indonesiapintar hutbah jumat masjid jami al ittihad,neutral
salfok timses dibelakang berasa nobar bola kali yaa dikit dikit teriak,negative
1 365 makan siang gratis dana 400 1 triliun perhari dihabiskan memasak sedih dengar konsep gagasan,positive
fadli zon kurusan skrg,negative
pertanya bs gibran strategi paslon 02 dlm penyediaan infrastruktur sosial membebani keuangan daerah disuruh programnya strategi disiapkan paslon 02 membenai keuangan daerah,neutral
komentator paslon 1 3 berapi emosi bget,negative
gibran tampil diluar dugaan anak ingusan paslon sebelah bekeringat dingin,negative
imin rupany blm bingung soalsgie,negative
konsisten,positive
takut pilih prabowo,negative
wapresnya licik gimana wapres muka sok lugu licik,negative
narasi belasan langsung terpatahkan kredibilitas debat cawapres 2 jam pengamat pakar cendikiawan mengakui kelebihan,neutral
amin,positive
ghibran lancar nyontek salah singkatan keliatan percaya nyambung keliatan grogi matanya kepedesan menarik nafas,positive
fadli tiba2menurun kecerdasan kasihan memaksakan,negative
biarkan indonesia diperintah imigran yaman diatur presiden hobinya nonton film porno,neutral
gimana mahfud gibran,negative
nonton debatnya eited jujur blunder timsesnya blunder just objective,negative
sgie mao bhs indo bhs inggris alasan contoh who otw btw brb dm fyp ootd wfh timses 1 3 statement kampungan,negative
najwa bantu up yok rohingya aceh perdagangan manusia abu2,negative
trust isue program tpi ttp korupsi gmn,negative
terlepas kontroversi terkait mk akui gibran tema debat wawasan mumpuni menguasai panggung,neutral
prabowo gibranakan menang,negative
timsesnya 03 paniiikkk,negative
terkait gibran bicara ttg ikn imin cawapres ganjar tertawa geli hahaha,neutral
imin rada rada ngakak argumen argumennya,negative
fadli zon kurus,negative
berkaca gaboleh kayak gibran ngomong,negative
bahaya ta 02 berburu dikebun binatang rakyat dibilang binatang,negative
mms bowo gibran solid bangsa indonesia raya bangsa indonesia hadir perdamaian dunia perdamaian abadi,negative
samsul unggul dlm berbuat curang gagap diperdengarkan suara memandu wireless earphone ditempel ditelinganya dibilang unggul curang anak sd memalukan,neutral
rakyat rindu perubahan sehat bangsaku amin,positive
kesempatan kali 2,negative
implasutur sosial sentang makan siang gratis blunder,positive
ngakak jubir 01 ama 03,negative
komen milih paslon 02 like guys salut gibran cerdas sat set lucu sopan kerennnnnnnn,positive
apapuh hasilnya bpk prabowo pilihan,negative
bocil epep gitu udh jdi cawapres next batasan pendidikan hapuskan,negative
hatiku hatiku padamu,negative
ntah gombal nggak nggak,negative
hui semangat membanggakan,positive
keliatan gus imin ngomong,negative
prof baca hukum lupa,negative
pemimpinnya amanah,negative
debat fakta lapangan media sosial,negative
anis pilihanterbaik,negative
sayang timses adian dtg,negative
,negative
min imin pintar tata,negative
e optimis annnn and sehat kesehatan,positive
jum at sholat jumat maksud sanggup beriman nggak nggak usahh,negative
najwa kemana tenggelam takut inovasi rakyat membongkar kesesatan manipulasi apapun,negative
maaf memilih manusia menghina gusdur https youtu be nvjc fw,negative
nyenggol jokowi 03 sakit hati kayaknya,negative
14 12 geleng2 cawapres bisa2nya bawa kalimat sulap kebenarannya sulap mengangum dianggap keren menabjubkan trik permainan kepalsuan,positive
timses 1 ngeselinnnn ngomong dipotong trus rendahin paslon lainn,negative
gokil gibran bangga satu2nya anak muda bangsa maju prestasi membanggakan attitude wawasan luas kerendahan hati diacungi jempol,positive
02 gibran ngotot program makan siang gratis relevan bisnisnya kebanyakan bergerak bidang kuliner katering chilli pari pasta buntel goola mangkokku madhang indonesia persiapan bahan bancakan 400t perusahaan2 ngeri persiapannya dipikirin ngejabat bos bahaya bangat ditentang ahli dikoreksi tabrak2 masuk tabrak masuk ky backsound prabowo gibran pahamkan arti tabrak2 masuk julid program abal2 menyelamatkan indonesia koruptor biadab palang beton sampe tabrak masuk wacana import sapi 1 5juta ekor wih komisinya wow bancakan,negative
kasian bang fadli diserang kanan kiri karna karna menang chakzzzz karna bingung pelafalan singkatan diperdebatin sgie mempermasalahkan pelafalan blunder parah ngejawab,positive
ngga suka debat 2 komentator anies emosian nggak sopan ngomong ngga ngalah,negative
1,negative
serius domisili jakarta jakarta menentukan pilih anis kinerja anis gubernur jakarta bagus selaras,negative
suka sm mahfud sopan beretika,negative
ntah males lihat islah bahrawi media sok menyelamatkan budaya bangsa sisi menyebarkan ideologi barat ideologi liberal,negative
bohong banget timses 3 ngeritik ketua partai merah twitter,negative
sesungguhnya ilfeel no3 partai dibelakangnya ketua partai diatas pemimpin negara,negative
kalah nyeranggg yahahaha all in prabowoo,negative
zhuhur rrrrrrrrrr,negative
bagus banget gibran timses 01 03 literasi menyangkal,positive
acara lawak sgie,negative
geged timses 01 inii nyalahin gibran mulu terima yaa performa gibran sebagus,positive
ekspresi gaya bicara gibran persis jokowi pola informasi hati2,negative
najwashihab mbak nana jurnalis kritis yaaah nanyaaaa mbak nana sadar kejanggalan debat capres cawapres fatal penalis dibuka pas capres debat buka lihatkan penonton pas debat cawapres moderator kasih tirai trus pas buka moderator buka perlihatkan janggal mbak nana sangat2 janggaaaal,positive
debat ambil kesimpulan adab ilmu,negative
nilai gibran adab penyampaian,negative
debat diskusi anyingg,negative
guys maksudnya bola lambung maksudnya menit 01 02 54,negative
sgie ngga bahasa inggris woyyy otw on the way o ti dabelyu otewe hahaha zaman covid who world health organization dabelyu eij o we ha o,negative
bangga banget gibran apapun bangga,positive
mbak nana asli gaseru nobarnya gara gara kbanyakan bacot timsesnya mending denger pendapat mbaknana interaksi gitu penonton bahas faktanya banyakin timses timsesnya bacotnya brisik,negative
turu min,negative
berpura pura cerdas tudak ketik mampauaannya,negative
hahahaha terpilihnya gibran cawapres bentuk kemunduran demokrasi gibran dilingkaran pejabat negara anak presiden mengandalkan paman mk dimana letak teladan anak muda indonesia rakyat indonesia semoga cerdas,positive
putra mahkota idola,negative
songong nomor capres cawapresnya milih jawabannya logis etikanya ituloh mentang backingan ampun suhu,negative
kali lihat anak muda membangun generasi emas indonesia lanjutkan gibran km ntt allah in pragi,negative
allah mohon rejeki senangpadakampanye gontok gontookan in,negative
kalok pesan penutupnya teks anak tk wkw gibrannn loss teks,negative
presiden wapres klw bicara dipikir dlu tho ajaa mengurus negara nda sesederhana bicaraa,negative
mendengar kyk bpk jokowi mz gibran,positive
ayo ayo pendukung gibran pinah dukungan mahfu sampe salah 5 thn taruhan negara ri,negative
petok petok petok petok petok petok petok petok petok petok petok petok petok,negative
2,negative
emg talent bintang tamu bkn mantan pemakai narkoba dark jokes,neutral
ilang respek fico,positive
coki stay indonesia,negative
ngeh anis etika kebelakang deban 3 adalaha jebakan gibran berhasil merangkap anis berkomentar etik mahfud jebakan mahfud kepancing pertanyaan2 receh pdhl didebat 3 capresnya memaksa prabowo pertanyaan2 recehnya berpotensi mebahayakan negara,negative
closing anies merendahkan lawan debat meanwhile 11 100,neutral
gibran keren bngt 1 vs 2,positive
seblunder2nya paslon survei tetep 1,neutral
pembuka hilirisasi penutup hilirisasi,positive
,negative
politik tiktok,negative
debat capres 2 ngajak ribut 1 debat cawapres 1 ngajak ribut 2,neutral
omon2 sekedar omong2 daging isinya,negative
mari buktika survei salah aminnn,negative
apapun pertanyaannya jawabannya etika,negative
01 menang amin,positive
dibayar yak supporter,negative
mahfud menko mengkritik dirinsendiri,negative
giliran gibran berbicara mendebat 2 tua gagasan dibilangnya beretika mendebat mahfud dianggap ngajari kemarin prabowo kemenpohukam diajarin pertahanan dikurangajarin muda ngerti data dianggap wajar hahahaha lucuuuu,negative
giliran gibran berbicara mendebat 2 tua gagasan dibilangnya beretika mendebat mahfud dianggap ngajari kemarin prabowo kemenpohukam diajarin pertahanan dikurangajarin muda ngerti data dianggap wajar hahahaha lucuuuu,negative
02 tetep ojo lali,negative
ilang respect fico,negative
template normatif otentik diulang ulang ditampilkan gibran,negative
coki ngajak berpikir objektif bingung ngebelanya gimana jajaja,negative
fico abdur bocah ngambek ngadepin coki,negative
3 01 24 gibran kasih kayak mahasiswa nanya dosen mhswa gitu2 deh,negative
rip coki,negative
mba nana endorse ot sales ot produk,negative
tua tua suka singgungan,negative
bbm gratis bicarakan imin,negative
maaf 3 cawapres kayaknya program petani dr bunga bibir ajang 5th prakteknya mna pra ptani sllu rawan kna pnyakit gula 5th 1x jnji trllu manis,negative
seru mamat alkatiri abdur ari kriting,negative
iklan paramex cocok banget gimick gibran butuh paramex,positive
pilih 01 bikinin sumur resapan 02 kesempatan prabowo kinerjanya bagus gibran suport 2 master 03 setirnya mbah banteng pionnya,negative
epic coment 2 02 47,negative
muda emosional,negative
etdah muhaimin kaga nyindir doang kaga visi misi,negative
bahas masyarakat 01 02 03 03 boneka mega,neutral
argumen paman coki ngebela paslonnya setara argumen abu janda ngebela jokowi haha,positive
03 16 11,negative
piko koblok kopiko wkqkwkwk,negative
ambon maluku all in prabowo,negative
selamat pagi mba najwa mohon maaf tolong pesan cawapres janji selesaikan 1 bbm menyelesaikan bbm indonesia antri jalan karna menganggu jalan terkhusus saudara timur barat harga bbm turun teriimakasih mba najwa selamat pagi,positive
intinya debat 1 4 disimpulkan paslon 1 perubahan paslon 2 kemajuan paslon 3 keadilan,neutral
12 19 16 hhaaaaaaaa lebaran paman coki,negative
anies npd,negative
paman coki pernyataannya masuk akal bermanfaat fico abdur,positive
pasukan pinguin,negative
prabowo gibran,negative
mahfud meludahi sumur air minumnya skrg kena masakan gibran malu 03,negative
abdur ngangkat narasi indikator ngenilai gibran penampil debat terburuk gibran terkesan retoris menjawabpertanyaan prof mahfud inget pas debat ahok dukung skrg dp rumah 0 jwbannya menyerah berjuang harapan diksi super pas eksekusi kelenger wkkwk,negative
dijual 03 fik wkk,neutral
anak muda malu pas denger gibran,negative
abdur arsyad gabisa wkwk,negative
abdur ngantuk turu,negative
